District,GA,VDF,MDF,OF,Total,% of GA,Change,Scrub
Ariyalur,1947,0,27,302,329,16.9,-1,3
Chennai,144,0,7,6,13,9.03,2,0
Coimbatore(H),7469,377,943,1307,2627,35.17,767,4
Cuddalore,3706,0,79,338,417,11.25,-17,2
Dharampuri(T),9622,271,1436,1573,3280,34.09,252,28
Dindigul (Anna),5580,307,643,712,1662,29.78,136,7
Erode (Periyar),8209,485,1285,651,2421,29.49,211,29
Kancheepuram,4474,0,87,209,296,6.62,-76,4
Kanniyakumarai(H),1684,44,444,462,950,56.41,203,5
Karur,2901,0,34,87,121,4.17,27,3
Madurai(H),4277,31,279,464,774,18.1,172,21
Nagapattinam,2140,0,58,140,198,9.25,99,0
Namakkal(T),3413,54,211,309,574,16.82,10,7
PerambalurT,1748,18,37,74,129,7.38,-16,9
Pudukottai,4651,0,88,245,333,7.16,52,4
Ramanathapuram,4232,1,33,191,225,5.32,-78,2
Salem(T),5235,130,479,826,1435,27.41,200,23
Sivaganga,4086,0,55,311,366,8.96,84,2
Thanjavur,3415,0,328,108,436,12.77,244,0
The Niligiris(H),2549,220,876,757,1853,72.7,-234,0
Theni,2764,209,444,474,1127,40.77,179,6
Thiruvallur,3413,10,46,191,247,7.24,19,41
Thiruvarur,2716,0,40,19,59,2.17,8,0
Tiruchchirapalli(T),4511,79,153,216,448,9.93,22,25
Tirunelveli(H),6810,289,727,292,1308,19.21,76,15
Tiruvannamalai(T),6191,174,493,632,1299,20.98,-70,44
Thoothukudi,4621,0,15,224,239,5.17,79,13
Vellore,6077,187,680,990,1857,30.56,113,89
Villupuram,7190,71,272,510,853,11.86,-130,27
Virudhnagar,4283,36,170,263,469,10.95,168,1
Total,130058,2993,10469,12883,26345,20.26,2501,414
